Date	Rev	sentiment	
11-Nov-17	love get music device	0.5	16426
11-Dec-16	love pandora listen music device even car tv directtv	0.5	884
12-Apr-16	love app listen pandora often voice command phone would make change station easier sure wish	0.5	2470
17-Nov-12	pp get update really help smooth problem limitatikns still get always build better mouse trap jazz havent problem play lile say also awesome fact play even hit sleep button kindle fire hd dont burn baterry much listen music	0.46	
3-Aug-13	good app wish would allow better mix music like dj mix app give option like soundcloud fitradio bite annoy receive message ask im still listen like im suppose hold phone time touch menu buttonsstop separation anxiety pandora	0.6	
12-Jun-17	love music line	0.5	
7-Jun-17	freeze	0	
22-Jan-17	change ambiance click shuffle change mood click button love	0.5	
10-Jul-17	love pandora available material share listenersbeing able tailor make platform preference beyong anything music lover would require love music site especially option get rid commercialsi highly reccomend site	0.343333333	
5-Feb-16	good far wish could play back fav song without go radio station like continuous play dont like tht stop u skip	0.266666667	
11-Nov-17	love get music device	0.5	
11-Dec-16	love pandora listen music device even car tv directtv	0.5	
12-Apr-16	love app listen pandora often voice command phone would make change station easier sure wish	0.5	
17-Nov-12	pp get update really help smooth problem limitatikns still get always build better mouse trap jazz havent problem play lile say also awesome fact play even hit sleep button kindle fire hd dont burn baterry much listen music	0.46	
3-Aug-13	good app wish would allow better mix music like dj mix app give option like soundcloud fitradio bite annoy receive message ask im still listen like im suppose hold phone time touch menu buttonsstop separation anxiety pandora	0.6	
12-Jun-17	love music line	0.5	
7-Jun-17	freeze	0	
22-Jan-17	change ambiance click shuffle change mood click button love	0.5	
10-Jul-17	love pandora available material share listenersbeing able tailor make platform preference beyong anything music lover would require love music site especially option get rid commercialsi highly reccomend site	0.343333333	
5-Feb-16	good far wish could play back fav song without go radio station like continuous play dont like tht stop u skip	0.266666667	
10-Mar-16	great app student use classroom earn positive break make teacher login make appropriate station kid listen	0.509090909	
8-Sep-16	find music think go thank hard work listen time	-0.291666667	
8-Feb-14	amaze variety free music small monthly fee ad listen everything three tenor bob marley ccr africa jazz blue classical music bb king eric clapton adel lord lena horne dancehall soca even comedy station work wonderfully cellphone kindle tablet computer	0.23	
25-Jul-13	teen train bra brace sock pant pandora provide free radio music local top station couldnt due fat guy suit make rule market flood internet music provider pandora still top go pandora even download app digital manhood still give star	0.182142857	
9-Jul-15	would love rate pandora betterbut sometimes worksother time stick drain batteryi love variety music pandora playsplease fix kinksuntil pay radio free pandora	0.466666667	
3-Jan-14	like cause play base taste help channel style music variety time select channel listen pending mood listen christmas jazz rock roll current oldie listen like side cannot get visit canada	-0.4	
5-Dec-14	use app year im sick tell skip track time im tire try play genre music absolutely dont belong channel create overprice app tend play music dont like play quality good	0.061904762	
27-Dec-16	great station good music could le ad bad love thumbnail chanel	0.325	
19-Jul-16	great music station without many commercial work bluetooth stream music speaker use anywhere	0.433333333	
12-Nov-14	dad like	0	
29-Nov-15	long time pandora user happy app available new microsoft lumia experience issue app look forward continue pandora enjoyment	0.321590909	
28-Nov-14	gotta love pandora like dream come true right create station base favorite song skip song dont like mood get better live without besides way get zone work	0.210296846	
20-Sep-13	pandora lot fun love fact personalize music listen add artist choice however one complaint thing dont like sometimes get music shouldnt even categorize next genre type disturb dont want britney spear period	0.125	
5-Jan-15	pandora wonderful train station little first fabulous much better spotifys radio function offer little variety obvious much time care put music genome project	0.246875	
13-May-17	every good	0.7	
27-Jul-17	love service	0.5	
28-Jul-17	rarely play music cant get play car bloothooth	0.3	
2-Jan-17	wonderful much music many memory bring back great music easy use	0.488888889	
18-Dec-16	love pandora dont mind ad either work play tablet laptop	0.5	
13-Jan-17	like really good need add station please love pandora much	0.466666667	
4-May-15	listen every day	0	
23-Sep-14	absolutely love	0.5	
2-Jun-16	well	0	
9-Jul-15	love	0.5	
4-Sep-17	happy hear favorite tune much commercial	0.433333333	
29-Jan-14	absolutely love app get favorite group song playlist start tell song like dont alger rhythm go along playlist start become right target want throw odd song make sense definitely worth	0.283809524	
13-Jun-17	would let sign never get try	0	
18-Jul-17	love appi listen music like	0.5	
29-Sep-17	love	0.5	
13-Oct-17	wonderful way add music day	1	
20-Dec-16	wish werent commercial understand get free need	0.2	
18-Jan-17	app compatible kindle difficult finally figure	-0.25	
7-May-16	great hear exactly music like without waste time configure thing discover new artist song also great	0.357272727	
