"date","review"
"March 28, 2016","love this music app. great selection. Better than Pandora. Use it on my Samsung Phone. Not happy, however, that I cannot seem to get the app on my Samsung Smart TV. I get the Amazon Cloud app but not the Amazon Music App, (Amazon, if someone could contact me about this, would greatly appreciated) The Amazon Cloud app does not seem intergrated with the Amazon Music app.....Thanks!"
"July 30, 2017","Terrific app."
"May 23, 2017","Nice selection, I have it on a couple of devices, only problem is they're not synced together through amazon music."
"May 4, 2017","It great piece to have tons of music to choose from! Loving it!"
"June 30, 2016","Lots of product but I just didn't use it enough to justify spending over a $100 dollars a year on this. Plus they make you pay a year in advance and you can't pay monthly which sucks. Maybe if they started charging monthly I'd sign up again. The free 2 days shipping on products was goo thought. But I never watched a movie or listened to a song on Amazon."
"May 29, 2017","Music choices are great and diverse. I listen to ""Top Pop"" and would prefer a few more recent hits, but overall I'm very pleased with the service."
"October 3, 2017","Amazon Music is great , I don't know why I didn't get it sooner. love it."
"April 27, 2016","Love that you can download music as a Amazon Prime Member. Just was a little confusing for me when it asked certain questions on where to store songs and also if there was a charge for the songs. That is the only reason I did 4 stars. I am not quite as tech savy as some of the younger people, so just would have liked a little more explanation. Love having the music though."
"April 10, 2017","works great"
"August 17, 2015","In addition to the ridiculous list of things it wants access to, this app would not let me log in to my own Prime profile. It kept logging me in under my mother, even when I put my own email and password in multiple times. She doesn't have Amazon Prime or any of my music, so all the music I just saved to my library apparently is now worthless. I guess I just go back to Spotify. At least that's a lot easier to use and lets me log in to my own profile."
"March 28, 2016","love this music app. great selection. Better than Pandora. Use it on my Samsung Phone. Not happy, however, that I cannot seem to get the app on my Samsung Smart TV. I get the Amazon Cloud app but not the Amazon Music App, (Amazon, if someone could contact me about this, would greatly appreciated) The Amazon Cloud app does not seem intergrated with the Amazon Music app.....Thanks!"
"July 30, 2017","Terrific app."
"May 23, 2017","Nice selection, I have it on a couple of devices, only problem is they're not synced together through amazon music."
"May 4, 2017","It great piece to have tons of music to choose from! Loving it!"
"June 30, 2016","Lots of product but I just didn't use it enough to justify spending over a $100 dollars a year on this. Plus they make you pay a year in advance and you can't pay monthly which sucks. Maybe if they started charging monthly I'd sign up again. The free 2 days shipping on products was goo thought. But I never watched a movie or listened to a song on Amazon."
"May 29, 2017","Music choices are great and diverse. I listen to ""Top Pop"" and would prefer a few more recent hits, but overall I'm very pleased with the service."
"October 3, 2017","Amazon Music is great , I don't know why I didn't get it sooner. love it."
"April 27, 2016","Love that you can download music as a Amazon Prime Member. Just was a little confusing for me when it asked certain questions on where to store songs and also if there was a charge for the songs. That is the only reason I did 4 stars. I am not quite as tech savy as some of the younger people, so just would have liked a little more explanation. Love having the music though."
"April 10, 2017","works great"
"August 17, 2015","In addition to the ridiculous list of things it wants access to, this app would not let me log in to my own Prime profile. It kept logging me in under my mother, even when I put my own email and password in multiple times. She doesn't have Amazon Prime or any of my music, so all the music I just saved to my library apparently is now worthless. I guess I just go back to Spotify. At least that's a lot easier to use and lets me log in to my own profile."
"June 17, 2015","This has been a great benefit of being a prime member. Its has almost infinite playlists and music geared towards everyone and everything. I love the thumb up thumbs down options that allow you to make your preferences known, plus the ability to download whole albums or just single songs. It brings up new artists you might like and has stations for whole genres or just specific artists that also play their musical colleagues. Great product or service from amazon. AGAIN!"
"October 4, 2017","Love my country!"
"October 6, 2017","Works great"
"May 10, 2017","I am really impress with the Amazon Music, I love it. HUGE selection of all kind if music of all gender. The Best Music player!! I know what I'm talking because I am a Broadcaster and DJ's."
"May 2, 2016","Just started using Amazon music but so far I am really liking it! I was easily able to find music that I liked and out it where I can listen to only what I want to listen to! Lots to choose from and I have barely begun to look! My only issue is that now my son is asking me non-stop for my phone so he can listen too! As long as he stays in my country world, all will be well!"
"June 20, 2014","Decent service. Love the fact that it's bundled w/ Prime. Makes Primes an even greater bargain! The service itself is.... useable... The music selection is not as vast as other services and the audio quality for some reason is only so-so. Love the playlists and the ability to download music for offlilne streamline those are must have for any music streaming services. Hopefully artists and content will increase with time. Impossible to give a bad review to free service to Prime subscribers but I wouldn't mind paying an extra few bucks a month if the issues noted above were addressed."
"July 23, 2017","Idk if I could live without this app!!!!"
"October 7, 2017","Cool music !!!"
"May 14, 2016","Absolutely love Amazon Prime Music..it's very easy to navigate between different music styles where you can listen or skip and save your preferences with 1 tap. They of course have updates regular to add all the newest songs"
"June 19, 2017","Tweaky, kept having to back out of the app to change stations, fiddle-y and annoying. Maybe it's better from my Chromebook, but on my phone the app was a PITA and I probably won't use it."
"May 5, 2017","works well"
"March 11, 2017","great music"
"June 13, 2017","Works well"
"November 10, 2017","Good value for prime members"
"November 20, 2013","Great songs,sound and great price. Not only all that but you earn as you buy. I earned one song of my choice for buying this cd. and the song you pick automatically just downloads to any device you want it too. OH first install this MP3 on your device. I installed it on my Android phone"
"May 22, 2017","Works great. I use it."
"July 21, 2017","I can listen anywhere to the music I've already selected. Love this!!!"
"December 2, 2016","AMAZON MUSIC is so easy and is much better than ITUNES in many ways. The only downfall is that my CHRISTIAN artists do not do as much with Amazon Music and other than that...I downgraded my ITUNES account and am doing Amazon now. We are going to buy the Echo Dot and love the whole Alexa thing...better than Siri!"
"December 20, 2016","I gave it one star because I could not give it zero. Nothing works on this system. The help desk is not useful either (although they tried), and the software is anything but user friendly. I would pass this up, along with ECHO which is the worst purchase I ever made. Do not take it even if offered for free."
"June 2, 2017","I plan to work with it a little more, but so far am not impressed. Too complex. Too many steps involved to listen to music, in spite of the emails telling me was a great offering is available to me as a Prime member. Pandora is much simpler and user friendly."
"July 15, 2017","Good music"
"September 4, 2017","Excellent"
"August 9, 2017","excellent"
"October 14, 2017","Very nice"
"May 15, 2017","It very good"
"May 16, 2017","I love this app"
"August 8, 2017","I can't get it to work. It keeps trying to use my UK account instead of my US prime account. Customer service was less than helpful. It's a real shame."
"July 14, 2017","I love music this is the best app"
"January 15, 2017","IF, IF, IF this were accessible by ""dial-in"", it would be GREAT. But it's not. So sorry. WHEN will all the radio and music industry EVER learn that not everybody on planet earth can afford giga bite upon giga bites to download simple music to enjoy. GO GET a life in the real world out here will ya."
"March 1, 2017","nice jams!"
"November 1, 2016","easy to use - great selection!"
"September 7, 2016","It's okay they have a pretty good music selection, that's my expense or at least with the music listen to Spotify it has more options YouTube Red has even more, but YouTube can be annoying because the videos take up a lot of space if you're saving them offline. But its nice that this comes with prime because I would get Prime anyways."
"November 6, 2015","Best thing for my morning walks with a busy baby and wild husky. I download songs at home before I leave so I don't get charged data by my wireless carrier. For the price of FREE the music selection is amazing. I have music for working out, morning walks, putting my baby to bed, studying, calming anxiety attacks, and music to get me though long road trips! As long as Amazon keeps this feature we will keep purchasing Prime!"
"May 16, 2017","Love the music."
"March 1, 2017","User friendly, good content."
"March 1, 2015","Amazon Music with Prime Music is a great addition to my prime account. It provides a very nice selection of all types of music and the ability to select individual tracks. Well done, Amazon."
"July 25, 2017","All good"
"September 13, 2017","Love it!"
"August 10, 2017","Love it!"
"July 20, 2017","love amazon music"
"September 7, 2017","Very easy to use and great selection."
"April 15, 2017","Why is this app not working at all?"
"March 2, 2017","Its Free"
"April 28, 2017","Love site"
"April 15, 2015","I started out by taking advantage of the prime 30 day free trial. I wasn't sure if I needed to subscribe to prime as I don't have a way to connect my phone to the TV to enjoy instant prime movies. I don't have a gaming device. Then as I was learning more about prime music. The rest is history, I am now a prime member. Maybe before my membership runs out I will have some kind of device to view thru my TV. Thanks again. Love Amazon and Prime Amazon. Keep up the good work"
"April 6, 2017","Pretty good availability. Not all choices available (free music)are the original musicians or versions of particular songs ,you probably can purchase them . On my laptop the Playlist is a little hard to edit ."
"June 20, 2017","good app"
"March 23, 2016","I always gave great credit to Amazon for doing its part to make Android apps available for the BlackBerry OS. No longer. I have reason to own a BB10 OS device, which does have the ability to run Android apps, but only if the vendor allows the app to be downloaded, which in this case Amazon no longer allows. I'm dumping my Amazon Prime subscription and giving the money to Spotify."
"April 30, 2017","perfect"
